traditional,simplified,zhuyin,pinyin,translations,classifiers,class,level
謝,谢,ㄒㄧㄝˋ,xiè,"to thank / to apologize / to wither (of flowers, leaves etc) / to decline",,V,Level 3
心得,心得,ㄒㄧㄣ ㄉㄜˊ,xīn dé,"what one has learned (through experience, reading etc) / knowledge / insight / understanding / tips",項|项 / 個|个,N,Level 3
心理,心理,ㄒㄧㄣ ㄌㄧˇ,xīn lǐ,psychology / mentality,,N,Level 3
心意,心意,ㄒㄧㄣ ㄧˋ,xīn yì,regard / kindly feelings / intention,,N,Level 3
欣賞,欣赏,ㄒㄧㄣ ㄕㄤˇ,xīn shǎng,to appreciate / to enjoy / to admire,,Vst,Level 3
新生,新生,ㄒㄧㄣ ㄕㄥ,xīn shēng,new / newborn / emerging / nascent / rebirth / regeneration / new life / new student,,N,Level 3
信,信,ㄒㄧㄣˋ,xìn,letter / mail / to trust / to believe / to profess faith in / truthful / confidence / trust / at will / at random,封|封,Vst,Level 3
信箱,信箱,ㄒㄧㄣˋ ㄒㄧㄤ,xìn xiāng,mailbox / post office box,,N,Level 3
信心,信心,ㄒㄧㄣˋ ㄒㄧㄣ,xìn xīn,confidence / faith (in sb or sth),個|个,N,Level 3
興奮,兴奋,ㄒㄧㄥ ㄈㄣˋ,xīng fèn,excited / excitement / (physiology) excitation,,Vs,Level 3
行,行,ㄒㄧㄥˊ,xíng,to walk / to go / to travel / a visit / temporary / makeshift / current / in circulation / to do / to perform / capable / competent / effective / all right / OK! / will do / behavior / conduct / Taiwan pr. [xing4] for the behavior-conduct sense,,Vs,Level 3
行動,行动,ㄒㄧㄥˊ ㄉㄨㄥˋ,xíng dòng,operation / action / to move about / mobile,個|个,N,Level 3
行為,行为,ㄒㄧㄥˊ ㄨㄟˊ,xíng wéi,action / conduct / behavior / activity,,N,Level 3
形容,形容,ㄒㄧㄥˊ ㄖㄨㄥˊ,xíng róng,to describe / description / appearance / look,,V,Level 3
醒,醒,ㄒㄧㄥˇ,xǐng,to wake up / to be awake / to become aware / to sober up / to come to,,Vp,Level 3
醒來,醒来,ㄒㄧㄥˇ ㄌㄞˊ,xǐng lái,to waken,,Vp,Level 3
姓,姓,ㄒㄧㄥˋ,xìng,family name / surname / to be surnamed,個|个,N,Level 3
性別,性别,ㄒㄧㄥˋ ㄅㄧㄝˊ,xìng bié,gender / sex,,N,Level 3
性格,性格,ㄒㄧㄥˋ ㄍㄜˊ,xìng gé,nature / disposition / temperament / character,個|个,N,Level 3
幸好,幸好,ㄒㄧㄥˋ ㄏㄠˇ,xìng hǎo,fortunately,,Adv,Level 3
幸虧,幸亏,ㄒㄧㄥˋ ㄎㄨㄟ,xìng kuī,fortunately / luckily,,Adv,Level 3
幸運,幸运,ㄒㄧㄥˋ ㄩㄣˋ,xìng yùn,fortunate / lucky / fortune / luck,,Vs,Level 3
兇,兇,ㄒㄩㄥ,xiōng,terrible / fearful,,Vs,Level 3
兄弟,兄弟,ㄒㄩㄥ ㄉㄧˋ,xiōng dì,"brothers / younger brother / I, me (humble term used by men in public speech) / brotherly / fraternal",個|个,N,Level 3
熊貓,熊猫,ㄒㄩㄥˊ ㄇㄠ,xióng māo,panda,隻|只,N,Level 3
修,修,ㄒㄧㄡ,xiū,to decorate / to embellish / to repair / to build / to write / to cultivate / to study / to take (a class),,V,Level 3
修改,修改,ㄒㄧㄡ ㄍㄞˇ,xiū gǎi,to amend / to alter / to modify,,V,Level 3
修理,修理,ㄒㄧㄡ ㄌㄧˇ,xiū lǐ,to repair / to fix / to prune / to trim / (coll.) to sort sb out / to fix sb,,V,Level 3
需求,需求,ㄒㄩ ㄑㄧㄡˊ,xū qiú,requirement / to require / (economics) demand,,N,Level 3
需要,需要,ㄒㄩ ㄧㄠˋ,xū yào,to need / to want / to demand / to require / requirement / need,,N,Level 3
選,选,ㄒㄩㄢˇ,xuǎn,to choose / to pick / to select / to elect,,V,Level 3
選舉,选举,ㄒㄩㄢˇ ㄐㄩˇ,xuǎn jǔ,to elect / election,次|次 / 個|个,N,Level 3
選擇,选择,ㄒㄩㄢˇ ㄗㄜˊ,xuǎn zé,to select / to pick / choice / option / alternative,,N,Level 3
選擇,选择,ㄒㄩㄢˇ ㄗㄜˊ,xuǎn zé,to select / to pick / choice / option / alternative,,V,Level 3
學會,学会,ㄒㄩㄝˊ ㄏㄨㄟˋ,xué huì,to learn / to master / institute / learned society / (scholarly) association,,Vpt,Level 3
學問,学问,ㄒㄩㄝˊ ㄨㄣˋ,xué wèn,learning / knowledge,個|个,N,Level 3
尋找,寻找,ㄒㄩㄣˊ ㄓㄠˇ,xún zhǎo,to seek / to look for,,V,Level 3
訓練,训练,ㄒㄩㄣˋ ㄌㄧㄢˋ,xùn liàn,to train / to drill / training,個|个,V,Level 3
呀,呀,ㄧㄚ,yā,"(particle equivalent to 啊 after a vowel, expressing surprise or doubt)",,Ptc,Level 3
鴨,鸭,ㄧㄚ,yā,duck / (slang) male prostitute,隻|只,N,Level 3
鴨子,鸭子,ㄧㄚ ㄗ˙,yā zi,duck / male prostitute (slang),,N,Level 3
押金,押金,ㄧㄚ ㄐㄧㄣ,yā jīn,deposit / down payment,,N,Level 3
牙,牙,ㄧㄚˊ,yá,tooth / ivory,顆|颗,N,Level 3
牙齒,牙齿,ㄧㄚˊ ㄔˇ,yá chǐ,tooth / dental,顆|颗,N,Level 3
煙火,烟火,ㄧㄢ ㄏㄨㄛˇ,yān huǒ,smoke and fire / fireworks,,N,Level 3
研究,研究,ㄧㄢˊ ㄐㄧㄡˋ,yán jiù,research / a study / to research / to look into,項|项,N,Level 3
研究,研究,ㄧㄢˊ ㄐㄧㄡˋ,yán jiù,research / a study / to research / to look into,項|项,V,Level 3
嚴重,严重,ㄧㄢˊ ㄓㄨㄥˋ,yán zhòng,grave / serious / severe / critical,,Vs,Level 3
演,演,ㄧㄢˇ,yǎn,to develop / to evolve / to practice / to perform / to play / to act,,V,Level 3
演出,演出,ㄧㄢˇ ㄔㄨ,yǎn chū,to act (in a play) / to perform / to put on (a performance) / performance / concert / show,場|场 / 次|次,V,Level 3
演講,演讲,ㄧㄢˇ ㄐㄧㄤˇ,yǎn jiǎng,lecture / to make a speech,,Vi,Level 3
演員,演员,ㄧㄢˇ ㄩㄢˊ,yǎn yuán,actor or actress / performer,個|个 / 位|位 / 名|名,N,Level 3
眼光,眼光,ㄧㄢˇ ㄍㄨㄤ,yǎn guāng,gaze / insight / foresight / vision / way of looking at things,,N,Level 3
眼淚,眼泪,ㄧㄢˇ ㄌㄟˋ,yǎn lèi,tears / crying,滴|滴,N,Level 3
陽光,阳光,ㄧㄤˊ ㄍㄨㄤ,yáng guāng,sunshine / transparent (open to public scrutiny),線|线,N,Level 3
養,养,ㄧㄤˇ,yǎng,to raise (animals) / to bring up (children) / to keep (pets) / to support / to give birth,,V,Level 3
樣,样,ㄧㄤˋ,yàng,"manner / pattern / way / appearance / shape / classifier: kind, type",,M,Level 3
樣樣,样样,ㄧㄤˋ ㄧㄤˋ,yàng yàng,all kinds,,Det,Level 3
邀請,邀请,ㄧㄠ ㄑㄧㄥˇ,yāo qǐng,to invite / invitation,個|个,V,Level 3
要求,要求,ㄧㄠ ㄑㄧㄡˊ,yāo qiú,to request / to require / requirement / to stake a claim / to ask / to demand,點|点,N,Level 3
要求,要求,ㄧㄠ ㄑㄧㄡˊ,yāo qiú,to request / to require / requirement / to stake a claim / to ask / to demand,點|点,V,Level 3
咬,咬,ㄧㄠˇ,yǎo,to bite / to nip,,V,Level 3
要,要,ㄧㄠˋ,yào,important / vital / to want / to ask for / will / going to (as future auxiliary) / may / must / (used in a comparison) must be / probably / if,,Vst,Level 3
要不然,要不然,ㄧㄠˋ ㄅㄨˋ ㄖㄢˊ,yào bù rán,otherwise / or else / or,,Conj,Level 3
要不是,要不是,ㄧㄠˋ ㄅㄨˊ ㄕˋ,yào bú shì,if it were not for / but for,,Conj,Level 3
要緊,要紧,ㄧㄠˋ ㄐㄧㄣˇ,yào jǐn,important / urgent,,Vs,Level 3
野餐,野餐,ㄧㄝˇ ㄘㄢ,yě cān,picnic / to have a picnic,,Vi,Level 3
也好,也好,ㄧㄝˇ ㄏㄠˇ,yě hǎo,also fine,,Phrase,Level 3
頁,页,ㄧㄝˋ,yè,page / leaf,,M,Level 3
夜裡,夜里,ㄧㄝˋ ㄌㄧˇ,yè lǐ,during the night / at night / nighttime,,N,Level 3
夜裏,夜里,ㄧㄝˋ ㄌㄧˇ,yè lǐ,during the night / at night / nighttime,,N,Level 3
夜市,夜市,ㄧㄝˋ ㄕˋ,yè shì,night market,,N,Level 3
一下子,一下子,ㄧ ㄒㄧㄚˋ ㄗ˙,yī xià zi,in a short while / all at once / all of a sudden,,N,Level 3
一下子兒,一下子儿,ㄧˊ ㄒㄧㄚˋ ㄗ˙ ㄦ,yí xià zi r1,in a short while / all at once / all of a sudden,,N,Level 3
衣櫃,衣柜,ㄧ ㄍㄨㄟˋ,yī guì,wardrobe / armoire,個|个,N,Level 3
依靠,依靠,ㄧ ㄎㄠˋ,yī kào,to rely on sth (for support etc) / to depend on,,V,Level 3
一塊,一块,ㄧ ㄎㄨㄞˋ,yī kuài,one block / one piece / one (unit of money) / together / in the same place / in company,,Adv,Level 3
一塊兒,一块儿,ㄧ ㄎㄨㄞˋ ㄦ,yī kuài r1,erhua variant of 一塊|一块[yi1 kuai4],,Adv,Level 3
一切,一切,ㄧ ㄑㄧㄝˋ,yī qiè,everything / every / all,,Det,Level 3
一向,一向,ㄧ ㄒㄧㄤˋ,yī xiàng,always (previously) / a period of time in the recent past,,Adv,Level 3
一樣,一样,ㄧ ㄧㄤˋ,yī yàng,same / like / equal to / the same as / just like,,N,Level 3
已,已,ㄧˇ,yǐ,already / to stop / then / afterwards,,Adv,Level 3
以,以,ㄧˇ,yǐ,to use / by means of / according to / in order to / because of / at (a certain date or place),,Prep,Level 3
以後,以后,ㄧˇ ㄏㄡˋ,yǐ hòu,after / later / afterwards / following / later on / in the future,,N,Level 3
以來,以来,ㄧˇ ㄌㄞˊ,yǐ lái,since (a previous event),,N,Level 3
以免,以免,ㄧˇ ㄇㄧㄢˇ,yǐ miǎn,in order to avoid / so as not to,,Conj,Level 3
以內,以内,ㄧˇ ㄋㄟˋ,yǐ nèi,within / less than,,N,Level 3
以前,以前,ㄧˇ ㄑㄧㄢˊ,yǐ qián,before / formerly / previous / ago,,N,Level 3
以上,以上,ㄧˇ ㄕㄤˋ,yǐ shàng,that level or higher / that amount or more / the above-mentioned / (used to indicate that one has completed one's remarks) That is all.,,N,Level 3
以外,以外,ㄧˇ ㄨㄞˋ,yǐ wài,apart from / other than / except for / external / outside of / on the other side of / beyond,,N,Level 3
以為,以为,ㄧˇ ㄨㄟˊ,yǐ wéi,to think (i.e. to take it to be true that ...) (Usually there is an implication that the notion is mistaken – except when expressing one's own current opinion.),,V,Level 3
以下,以下,ㄧˇ ㄒㄧㄚˋ,yǐ xià,that level or lower / that amount or less / the following,,N,Level 3
一般來說,一般来说,ㄧˋ ㄅㄢ ㄌㄞˊ ㄕㄨㄛ,yì bān lái shuō,generally speaking,,Phrase,Level 3
一點,一点,ㄧ ㄉㄧㄢˇ,yī diǎn,a bit / a little / one dot / one point,,Adv,Level 3
一點兒,一点儿,ㄧ ㄉㄧㄢˇ ㄦ,yī diǎn r1,erhua variant of 一點|一点[yi1 dian3],,Adv,Level 3
一方面,一方面,ㄧ ㄈㄤ ㄇㄧㄢˋ,yī fāng miàn,on the one hand,,Conj,Level 3
一連,一连,ㄧ ㄌㄧㄢˊ,yī lián,in a row / in succession / running,,Adv,Level 3
一生,一生,ㄧ ㄕㄥ,yī shēng,all one's life / throughout one's life,,N,Level 3
一時,一时,ㄧ ㄕˊ,yī shí,a period of time / a while / for a short while / temporary / momentary / at the same time,,N,Level 3
一同,一同,ㄧ ㄊㄨㄥˊ,yī tóng,along / together,,Adv,Level 3
意見,意见,ㄧˋ ㄐㄧㄢˋ,yì jiàn,idea / opinion / suggestion / objection / complaint,點|点 / 條|条,N,Level 3
意外,意外,ㄧˋ ㄨㄞˋ,yì wài,unexpected / accident / mishap,個|个,N,Level 3
意義,意义,ㄧˋ ㄧˋ,yì yì,sense / meaning / significance / importance,個|个,N,Level 3
陰,阴,ㄧㄣ,yīn,overcast (weather) / cloudy / shady / Yin (the negative principle of Yin and Yang) / negative (electric.) / feminine / moon / implicit / hidden / genitalia,,Vs,Level 3
因此,因此,ㄧㄣ ㄘˇ,yīn cǐ,thus / consequently / as a result,,Conj,Level 3
音響,音响,ㄧㄣ ㄒㄧㄤˇ,yīn xiǎng,sound / acoustics / audio / hi-fi system / stereo sound system / abbr. for 組合音響|组合音响[zu3 he2 yin1 xiang3],,N,Level 3
引起,引起,ㄧㄣˇ ㄑㄧˇ,yǐn qǐ,to give rise to / to lead to / to cause / to arouse,,V,Level 3
應,应,ㄧㄥ,yīng,to answer / to respond / to comply with / to deal or cope with,,Aux,Level 3
應該,应该,ㄧㄥ ㄍㄞ,yīng gāi,ought to / should / must,,Aux,Level 3
英俊,英俊,ㄧㄥ ㄐㄩㄣˋ,yīng jùn,handsome,,Vs,Level 3
營養,营养,ㄧㄥˊ ㄧㄤˇ,yíng yǎng,nutrition / nourishment,種|种,N,Level 3
影片,影片,ㄧㄥˇ ㄆㄧㄢˋ,yǐng piàn,film / movie,部|部,N,Level 3
擁有,拥有,ㄩㄥˇ ㄧㄡˇ,yǒng yǒu,to have / to possess,,Vst,Level 3
用,用,ㄩㄥˋ,yòng,to use / to employ / to have to / to eat or drink / expense or outlay / usefulness / hence / therefore,,Prep,Level 3
用法,用法,ㄩㄥˋ ㄈㄚˇ,yòng fǎ,usage,,N,Level 3
用功,用功,ㄩㄥˋ ㄍㄨㄥ,yòng gōng,diligent / industrious (in one's studies) / to study hard / to make great effort,,Vs,Level 3
用品,用品,ㄩㄥˋ ㄆㄧㄣˇ,yòng pǐn,articles for use / products / goods,,N,Level 3
優點,优点,ㄧㄡ ㄉㄧㄢˇ,yōu diǎn,merit / benefit / strong point / advantage,個|个 / 項|项,N,Level 3
優秀,优秀,ㄧㄡ ㄒㄧㄡˋ,yōu xiù,outstanding / excellent,,Vs,Level 3
幽默,幽默,ㄧㄡ ㄇㄛˋ,yōu mò,(loanword) humor / humorous,,Vs,Level 3
郵票,邮票,ㄧㄡˊ ㄆㄧㄠˋ,yóu piào,(postage) stamp,枚|枚 / 張|张,N,Level 3
尤其,尤其,ㄧㄡˊ ㄑㄧˊ,yóu qí,especially / particularly,,Adv,Level 3
遊客,游客,ㄧㄡˊ ㄎㄜˋ,yóu kè,traveler / tourist / (online gaming) guest player,,N,Level 3
游泳池,游泳池,ㄧㄡˊ ㄩㄥˇ ㄔˊ,yóu yǒng chí,swimming pool,場|场,N,Level 3
由於,由于,ㄧㄡˊ ㄩˊ,yóu yú,due to / as a result of / thanks to / owing to / since / because,,Conj,Level 3
有點,有点,ㄧㄡˇ ㄉㄧㄢˇ,yǒu diǎn,a little,,Adv,Level 3
有一點,有一点,ㄧㄡˇ ㄧ ㄉㄧㄢˇ,yǒu yī diǎn,a little / somewhat,,Adv,Level 3
有點兒,有点儿,ㄧㄡˇ ㄉㄧㄢˇ ㄦ,yǒu diǎn r1,slightly / a little / somewhat,,Adv,Level 3
有一點兒,有一点儿,ㄧㄡˇ ㄧ ㄉㄧㄢˇ ㄦ,yǒu yī diǎn r1,a bit / a little,,Adv,Level 3
有的,有的,ㄧㄡˇ ㄉㄜ˙,yǒu de,(there are) some (who are...) / some (exist),,Det,Level 3
有名,有名,ㄧㄡˇ ㄇㄧㄥˊ,yǒu míng,famous / well-known,,Vs,Level 3
有錢,有钱,ㄧㄡˇ ㄑㄧㄢˊ,yǒu qián,well-off / wealthy,,Vs,Level 3
有效,有效,ㄧㄡˇ ㄒㄧㄠˋ,yǒu xiào,effective / in effect / valid,,Vs,Level 3
有意思,有意思,ㄧㄡˇ ㄧˋ ㄙ˙,yǒu yì si,interesting / meaningful / enjoyable / fun,,Vs,Level 3
友誼,友谊,ㄧㄡˇ ㄧˋ,yǒu yì,companionship / fellowship / friendship,,N,Level 3
於是,于是,ㄩˊ ㄕˋ,yú shì,thereupon / as a result / consequently / thus / hence,,Conj,Level 3
與,与,ㄩˇ,yǔ,to take part in,,Conj,Level 3
與,与,ㄩˇ,yǔ,to take part in,,Prep,Level 3
玉,玉,ㄩˋ,yù,jade,,N,Level 3
玉米,玉米,ㄩˋ ㄇㄧˇ,yù mǐ,corn / maize,粒|粒,N,Level 3
預備,预备,ㄩˋ ㄅㄟˋ,yù bèi,to prepare / to make ready / preparation / preparatory,,V,Level 3
預習,预习,ㄩˋ ㄒㄧˊ,yù xí,to prepare a lesson,,V,Level 3
遇到,遇到,ㄩˋ ㄉㄠˋ,yù dào,to meet / to run into / to come across,,Vpt,Level 3
圓,圆,ㄩㄢˊ,yuán,circle / round / circular / spherical / (of the moon) full / unit of Chinese currency (yuan) / tactful / to make consistent and whole (the narrative of a dream or a lie),,N,Level 3
員工,员工,ㄩㄢˊ ㄍㄨㄥ,yuán gōng,staff / personnel / employee,,N,Level 3
原諒,原谅,ㄩㄢˊ ㄌㄧㄤˋ,yuán liàng,to excuse / to forgive / to pardon,,Vst,Level 3
原因,原因,ㄩㄢˊ ㄧㄣ,yuán yīn,cause / origin / root cause / reason,個|个,N,Level 3
願望,愿望,ㄩㄢˋ ㄨㄤˋ,yuàn wàng,desire / wish,,N,Level 3
院子,院子,ㄩㄢˋ ㄗ˙,yuàn zi,courtyard / garden / yard / patio / (old) servant,個|个,N,Level 3
約,约,ㄩㄝ,yuē,to make an appointment / to invite / approximately / pact / treaty / to economize / to restrict / to reduce (a fraction) / concise,,Adv,Level 3
約會,约会,ㄩㄝ ㄏㄨㄟˋ,yuē huì,appointment / engagement / date / to arrange to meet,次|次 / 個|个,N,Level 3
約會,约会,ㄩㄝ ㄏㄨㄟˋ,yuē huì,appointment / engagement / date / to arrange to meet,次|次 / 個|个,Vi,Level 3
越,越,ㄩㄝˋ,yuè,to exceed / to climb over / to surpass / the more... the more,,Adv,Level 3
月餅,月饼,ㄩㄝˋ ㄅㄧㄥˇ,yuè bǐng,mooncake (esp. for the Mid-Autumn Festival),,N,Level 3
閱讀,阅读,ㄩㄝˋ ㄉㄨˊ,yuè dú,to read / reading,,V,Level 3
樂團,乐团,ㄩㄝˋ ㄊㄨㄢˊ,yuè tuán,band / orchestra,,N,Level 3
運氣,运气,ㄩㄣˋ ㄑㄧˋ,yùn qì,luck (good or bad),,N,Level 3
在,在,ㄗㄞˋ,zài,(located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress),,Vst,Level 3
在意,在意,ㄗㄞˋ ㄧˋ,zài yì,to care about / to mind,,Vst,Level 3
在於,在于,ㄗㄞˋ ㄩˊ,zài yú,to be in / to lie in / to consist in / to depend on / to rest with,,Vst,Level 3
早,早,ㄗㄠˇ,zǎo,early / morning / Good morning! / long ago / prematurely,,Adv,Level 3
早日,早日,ㄗㄠˇ ㄖˋ,zǎo rì,soon / shortly / on a day quite soon / promptly,,Adv,Level 3
早晚,早晚,ㄗㄠˇ ㄨㄢˇ,zǎo wǎn,morning and evening / sooner or later,,N,Level 3
造成,造成,ㄗㄠˋ ㄔㄥˊ,zào chéng,to bring about / to create / to cause,,Vpt,Level 3
噪音,噪音,ㄗㄠˋ ㄧㄣ,zào yīn,rumble / noise / static (in a signal),,N,Level 3
責任,责任,ㄗㄜˊ ㄖㄣˋ,zé rèn,responsibility / blame / duty,個|个,N,Level 3
增加,增加,ㄗㄥ ㄐㄧㄚ,zēng jiā,to raise / to increase,,Vpt,Level 3
炸,炸,ㄓㄚˋ,zhà,to explode,,V,Level 3
摘,摘,ㄓㄞ,zhāi,"to take / to borrow / to pick (flowers, fruit etc) / to pluck / to select / to remove / to take off (glasses, hat etc)",,V,Level 3
站,站,ㄓㄢˋ,zhàn,station / to stand / to halt / to stop / branch of a company or organization / website,,N,Level 3
暫時,暂时,ㄓㄢˋ ㄕˊ,zhàn shí,temporary / provisional / for the time being,,Adv,Level 3
戰爭,战争,ㄓㄢˋ ㄓㄥ,zhàn zhēng,war / conflict,場|场 / 次|次,N,Level 3
長,长,ㄓㄤˇ,zhǎng,chief / head / elder / to grow / to develop / to increase / to enhance,,Vs,Level 3
長大,长大,ㄓㄤˇ ㄉㄚˋ,zhǎng dà,to grow up,,Vp,Level 3
掌握,掌握,ㄓㄤˇ ㄨㄛˋ,zhǎng wò,"to grasp (often fig.) / to control / to seize (initiative, opportunity, destiny) / to master / to know well / to understand sth well and know how to use it / fluency",,V,Level 3
障礙,障碍,ㄓㄤˋ ㄞˋ,zhàng ài,barrier / obstruction / hindrance / impediment / obstacle,,N,Level 3
招待,招待,ㄓㄠ ㄉㄞˋ,zhāo dài,to receive (guests) / to entertain / reception,,V,Level 3
招牌,招牌,ㄓㄠ ㄆㄞˊ,zhāo pái,signboard / shop sign / reputation of a business,,N,Level 3
找錢,找钱,ㄓㄠˇ ㄑㄧㄢˊ,zhǎo qián,to give change,,V-sep,Level 3
照,照,ㄓㄠˋ,zhào,according to / in accordance with / to shine / to illuminate / to reflect / to look at (one's reflection) / to take (a photo) / photo / as requested / as before,,Prep,Level 3
照,照,ㄓㄠˋ,zhào,according to / in accordance with / to shine / to illuminate / to reflect / to look at (one's reflection) / to take (a photo) / photo / as requested / as before,,V,Level 3
哲學,哲学,ㄓㄜˊ ㄒㄩㄝˊ,zhé xué,philosophy,個|个,N,Level 3
這裏,这里,ㄓㄜˋ ㄌㄧˇ,zhè lǐ,variant of 這裡|这里[zhe4 li3],,N,Level 3
這下子,这下子,ㄓㄜˋ ㄒㄧㄚˋ ㄗ˙,zhè xià zi,this time,,N,Level 3
這樣,这样,ㄓㄜˋ ㄧㄤˋ,zhè yàng,this kind of / so / this way / like this / such,,Vs,Level 3
這樣子,这样子,ㄓㄜˋ ㄧㄤˋ ㄗ˙,zhè yàng zi,so / such / this way / like this,,Adv,Level 3
這樣子,这样子,ㄓㄜˋ ㄧㄤˋ ㄗ˙,zhè yàng zi,so / such / this way / like this,,Vs,Level 3
真的,真的,ㄓㄣ ㄉㄜ˙,zhēn de,really,,Adv,Level 3
真理,真理,ㄓㄣ ㄌㄧˇ,zhēn lǐ,truth,個|个,N,Level 3
真實,真实,ㄓㄣ ㄕˊ,zhēn shí,true / real,,Vs,Level 3
真是,真是,ㄓㄣ ㄕˋ,zhēn shì,"indeed / truly / (coll.) (used to express disapproval, annoyance etc about sth)",,Adv,Level 3
真心,真心,ㄓㄣ ㄒㄧㄣ,zhēn xīn,sincere / heartfelt,片|片,Vs,Level 3
真正,真正,ㄓㄣ ㄓㄥˋ,zhēn zhèng,genuine / real / true / genuinely,,Adv,Level 3
真正,真正,ㄓㄣ ㄓㄥˋ,zhēn zhèng,genuine / real / true / genuinely,,Vs-attr,Level 3
珍貴,珍贵,ㄓㄣ ㄍㄨㄟˋ,zhēn guì,precious,,Vs,Level 3
整,整,ㄓㄥˇ,zhěng,exactly / in good order / whole / complete / entire / in order / orderly / to repair / to mend / to renovate / (coll.) to fix sb / to give sb a hard time / to mess with sb,,Det,Level 3
整理,整理,ㄓㄥˇ ㄌㄧˇ,zhěng lǐ,"to arrange / to tidy up / to sort out / to straighten out / to list systematically / to collate (data, files) / to pack (luggage)",,V,Level 3
整齊,整齐,ㄓㄥˇ ㄑㄧˊ,zhěng qí,orderly / neat / even / tidy,,Vs,Level 3
正,正,ㄓㄥˋ,zhèng,straight / upright / proper / main / principal / to correct / to rectify / exactly / just (at that time) / right (in that place) / (math.) positive,,Adv,Level 3
正常,正常,ㄓㄥˋ ㄔㄤˊ,zhèng cháng,regular / normal / ordinary,,Vs,Level 3
正確,正确,ㄓㄥˋ ㄑㄩㄝˋ,zhèng què,correct / proper,,Vs,Level 3
正式,正式,ㄓㄥˋ ㄕˋ,zhèng shì,formal / official,,Vs,Level 3
證明,证明,ㄓㄥˋ ㄇㄧㄥˊ,zhèng míng,proof / certificate / identification / testimonial / to prove / to testify / to confirm the truth of,個|个,V,Level 3
證書,证书,ㄓㄥˋ ㄕㄨ,zhèng shū,credentials / certificate,,N,Level 3
支,支,ㄓ,zhī,"to support / to sustain / to erect / to raise / branch / division / to draw money / classifier for rods such as pens and guns, for army divisions and for songs or compositions",,M,Level 3
知,知,ㄓ,zhī,to know / to be aware,,Vst,Level 3
知識,知识,ㄓ ㄕˋ,zhī shì,knowledge / intellectual,門|门,N,Level 3
之後,之后,ㄓ ㄏㄡˋ,zhī hòu,afterwards / following / later / after,,N,Level 3
之間,之间,ㄓ ㄐㄧㄢ,zhī jiān,between / among / inter-,,N,Level 3
之前,之前,ㄓ ㄑㄧㄢˊ,zhī qián,before / prior to / ago / previously / beforehand,,N,Level 3
直,直,ㄓˊ,zhí,straight / to straighten / fair and reasonable / frank / straightforward / (indicates continuing motion or action) / vertical / vertical downward stroke in Chinese characters,,Vs,Level 3
直到,直到,ㄓˊ ㄉㄠˋ,zhí dào,until,,Prep,Level 3
值得,值得,ㄓˊ ㄉㄜ˙,zhí de,to be worth / to deserve,,Vst,Level 3
殖民地,殖民地,ㄓˊ ㄇㄧㄣˊ ㄉㄧˋ,zhí mín dì,colony,,N,Level 3
植物,植物,ㄓˊ ㄨˋ,zhí wù,plant / vegetation,種|种,N,Level 3
職員,职员,ㄓˊ ㄩㄢˊ,zhí yuán,office worker / staff member,個|个 / 位|位,N,Level 3
指,指,ㄓˇ,zhǐ,finger / to point at or to / to indicate or refer to / to depend on / to count on / (of hair) to stand on end,,V,Level 3
只是,只是,ㄓˇ ㄕˋ,zhǐ shì,merely / simply / only / but,,Conj,Level 3
只要,只要,ㄓˇ ㄧㄠˋ,zhǐ yào,if only / so long as,,Conj,Level 3
只有,只有,ㄓˇ ㄧㄡˇ,zhǐ yǒu,only,,Adv,Level 3
只有,只有,ㄓˇ ㄧㄡˇ,zhǐ yǒu,only,,Conj,Level 3
制度,制度,ㄓˋ ㄉㄨˋ,zhì dù,"system (e.g. political, adminstrative etc) / institution",個|个,N,Level 3
智慧,智慧,ㄓˋ ㄏㄨㄟˋ,zhì huì,wisdom / knowledge / intelligent / intelligence,,N,Level 3
至少,至少,ㄓˋ ㄕㄠˇ,zhì shǎo,at least / (to say the) least,,Adv,Level 3
至於,至于,ㄓˋ ㄩˊ,zhì yú,as for / as to / to go so far as to,,Prep,Level 3
中,中,ㄓㄨㄥ,zhōng,"to hit (the mark) / to be hit by / to suffer / to win (a prize, a lottery)",,N,Level 3
中部,中部,ㄓㄨㄥ ㄅㄨˋ,zhōng bù,middle part / central section,,N,Level 3
中餐,中餐,ㄓㄨㄥ ㄘㄢ,zhōng cān,Chinese meal / Chinese food,份|份 / 頓|顿,N,Level 3
終於,终于,ㄓㄨㄥ ㄩˊ,zhōng yú,at last / in the end / finally / eventually,,Adv,Level 3
鐘,钟,ㄓㄨㄥ,zhōng,clock / o'clock / time as measured in hours and minutes / bell,架|架 / 座|座,N,Level 3
種,种,ㄓㄨㄥˋ,zhòng,to plant / to grow / to cultivate,,V,Level 3
重點,重点,ㄓㄨㄥˋ ㄉㄧㄢˇ,zhòng diǎn,important point / main point / focus / key (project etc) / to focus on / to put the emphasis on,,N,Level 3
重視,重视,ㄓㄨㄥˋ ㄕˋ,zhòng shì,to attach importance to sth / to value,,Vst,Level 3
周圍,周围,ㄓㄡ ㄨㄟˊ,zhōu wéi,surroundings / environment / to encompass,,N,Level 3
主動,主动,ㄓㄨˇ ㄉㄨㄥˋ,zhǔ dòng,to take the initiative / to do sth of one's own accord / spontaneous / active / opposite: passive 被動|被动[bei4 dong4] / drive (of gears and shafts etc),,Vs,Level 3
